PSCT;BandiT
243,2653503;0
243,9150391;0
244,4988708;0
245,1899261;0
245,8846283;0
246,4342651;0
247,0028687;0
247,6943512;0
248,2521667;0
248,8757629;0
249,4973297;0
250,0914459;0
250,6622009;0
251,3141174;0
252,0075378;0
252,499588;0
253,12854;0
253,7239838;0
254,3699493;0
254,9048462;0
255,5148163;0
256,185791;0
256,7837524;0
257,3648071;0
257,9413452;0
258,5419922;0
259,2261047;0
259,8190918;0
260,4254761;0
261,0011597;0
261,5229797;0
262,1809692;0
262,767395;0
263,3445129;0
263,975769;0
264,6220093;0
265,1292114;0
265,8206482;0
266,4736938;0
266,9778137;0
267,5131531;0
268,1349792;0
268,6893005;0
269,3477783;0
269,9151306;0
270,561676;0
271,1247864;0
271,6985168;0
272,2418518;0
272,8101196;0
273,4588318;0
274,0342407;0
274,6299744;0
275,2542114;0
275,8021545;0
276,4263916;0
276,9837341;0
277,4945679;0
278,0973511;0
278,7107544;0
279,2778931;0
279,7965393;0
280,4284058;0
280,9721985;0
281,6491089;0
282,1966248;0
282,806366;0
283,332428;0
283,9341125;0
284,5323486;0
285,12854;0
285,7157593;0
286,3793335;0
286,9333191;0
287,5072327;0
288,0476074;0
288,6581421;0
289,141449;0
289,7586365;0
290,3642883;0
290,9128418;0
291,5482178;0
292,0314636;0
292,6691284;0
293,2315979;0
293,7654114;0
294,2983398;0
294,9176331;0
295,5183716;0
296,1346741;0
296,6727905;0
297,2348938;0
297,8697815;0
298,4581909;0
299,0293884;0
299,5610962;0
300,1834106;0
300,7790833;0
301,3484802;0
301,8896179;0
302,3219604;0
302,9213867;0
303,5341187;0
304,0250854;0
304,6002197;0
305,2114258;0
305,7929077;0
306,3199463;0
306,9577026;0
307,4591675;0
308,0827332;0
308,6322021;0
309,3212891;0
309,8068237;0
310,4650574;0
311,0166321;0
311,5759888;0
312,1043091;0
312,7011719;0
313,1773682;0
313,714325;0
314,2865295;0
314,9170227;0
315,4816284;0
315,9267578;0
316,4994812;0
317,1100769;0
317,7049255;0
318,2829895;0
318,91745;0
319,4185486;0
320,0233765;0
320,6147156;0
321,1368713;0
321,7526855;0
322,2207947;0
322,7785339;0
323,3657532;0
324,0043945;0
324,5748291;0
325,1207886;0
325,7055359;0
326,1920166;0
326,6989136;0
327,3789673;0
327,9053955;0
328,4891052;0
328,9807129;0
329,4804993;0
330,0459595;0
330,5838013;0
331,2496338;0
331,7392273;0
332,335144;0
332,8267822;0
333,4694214;0
334,0173035;0
334,5473022;0
335,104187;0
335,5911255;0
336,2759399;0
336,8477783;0
337,3834839;0
337,9345703;0
338,492218;0
339,0822144;0
339,658844;0
340,2289124;0
340,7901306;0
341,3492432;0
341,8325806;0
342,3169556;0
342,8909607;0
343,5874023;0
344,1223755;0
344,5621948;0
345,1092834;0
345,6850281;0
346,2272949;0
346,828186;0
347,3935852;0
347,9813232;0
348,6321716;0
349,133606;0
349,6297302;0
350,2509155;0
350,8114014;0
351,3082886;0
351,8922119;0
352,3760071;0
352,9440002;0
353,5667114;0
354,0875549;0
354,7286682;0
355,2314453;0
355,6928711;0
356,3208923;0
356,9150696;0
357,4446106;0
358,0323792;0
358,5406189;0
359,2251892;0
359,7420959;0
360,3261719;0
360,8774414;0
361,4804382;0
362,0411072;0
362,5657959;0
363,1467285;0
363,6123962;0
364,1665039;0
364,6241455;0
365,1696472;0
365,7036133;0
366,2863159;0
366,8309326;0
367,4421082;0
368,008728;0
368,6879272;0
369,1744995;0
369,7523499;0
370,2759399;0
370,871582;0
371,45755;0
371,9738159;0
372,5246582;0
373,094696;0
373,6360168;0
374,2527161;0
374,7862244;0
375,4051514;0
375,8894348;0
376,4667358;0
376,921051;0
377,485321;0
378,0647583;0
378,6566467;0
379,2183533;0
379,8094177;0
380,3644409;0
380,9414978;0
381,4356079;0
382,0471802;0
382,5281677;0
383,1335144;0
383,6627808;0
384,1746521;0
384,7802429;0
385,4143677;0
385,9784851;0
386,5074158;0
387,0187988;0
387,5635376;0
388,1264038;0
388,6373291;0
389,2084045;0
389,8105164;0
390,3372498;0
390,9403076;0
391,4603271;0
391,9690247;0
392,5861816;0
393,1609192;0
393,7190857;0
394,3405762;0
394,9756165;0
395,503479;0
395,8545227;0
396,4151306;0
397,0136719;0
397,479248;0
398,0419006;0
398,6881714;0
399,2297668;0
399,8385925;0
400,4332581;0
401,036377;0
401,5583496;0
402,1306458;0
402,6827698;0
403,2803345;0
403,796051;0
404,3734741;0
404,9039917;0
405,4425049;0
405,8664551;0
406,4319153;0
407,0337219;0
407,4936829;0
408,1225281;0
408,6984558;0
409,3498535;0
409,930481;0
410,4358826;0
410,9712524;0
411,4676208;0
412,1404724;0
412,6297913;0
413,2125854;0
413,7645264;0
414,3410034;0
414,8315735;0
415,349884;0
415,9294434;0
416,3986206;0
417,0195618;0
417,5903931;0
418,1986694;0
418,6758118;0
419,2527771;0
419,8497314;0
420,4268494;0
420,9972534;0
421,502655;0
422,0140381;0
422,631012;0
423,1361389;0
423,6793213;0
424,2467651;0
424,7867126;0
425,2306213;0
425,7658081;0
426,3920593;0
426,9244385;0
427,5641785;0
